id,domain,name,altNames,description,avgMonthlyPosts,paywall,topCategories,topTopics,topCountries,topLabels,avgBiasRating,adFontesBiasRating,allSidesBiasRating,mbfcBiasRating,monthlyVisits,globalRank,logoLarge,logoFavIcon,logoSquare
df996e7299334037bf4326f5ba21bcd1,foxnews.com,Fox News,"['foxnews', 'foxnews.com', 'tucker carlson', 'Rachel Maddow', 'Ingraham', 'Laura Ingraham', 'fox.com', 'fox news.com', 'fox news channel', 'rupert murdoch', 'murdoch', 'conservative', 'republican', 'maria bartiromo', 'sean hannity', 'hannity']",Major US-based news source for current news and video.,7257,False,"[{'name': 'Politics', 'count': 2341}, {'name': 'General', 'count': 2065}, {'name': 'Sports', 'count': 993}, {'name': 'World', 'count': 764}, {'name': 'Entertainment', 'count': 746}, {'name': 'Lifestyle', 'count': 330}, {'name': 'Health', 'count': 234}, {'name': 'Tech', 'count': 160}, {'name': 'Weather', 'count': 113}, {'name': 'Auto', 'count': 104}]","[{'name': 'Crime', 'count': 834}, {'name': 'Joe Biden', 'count': 486}, {'name': 'Social Issues', 'count': 411}, {'name': 'GOP', 'count': 310}, {'name': 'California', 'count': 257}, {'name': 'Florida', 'count': 233}, {'name': 'Sports Figures', 'count': 230}, {'name': 'Texas', 'count': 214}, {'name': 'Russia-Ukraine War', 'count': 213}, {'name': 'Donald Trump', 'count': 211}]","[{'name': 'us', 'count': 7446}]","[{'name': 'Pop Culture', 'count': 563}, {'name': 'Non-news', 'count': 312}, {'name': 'Opinion', 'count': 226}, {'name': 'Paid News', 'count': 11}, {'name': 'Fact Check', 'count': 3}, {'name': 'Press Release', 'count': 3}, {'name': 'Roundup', 'count': 3}, {'name': 'Gallery', 'count': 1}]",right,Right,Leans Right,Right,351320981.0,120.0,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Fox_News_Reg_e92dda05ca/Fox-News-Reg_Fox_News_Reg_e92dda05ca.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Fox_News_Fav_Icon_fbbebffa72/Fox-News-FavIcon_Fox_News_Fav_Icon_fbbebffa72.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Fox_News_Square_99b3c0fa73/Fox-News-Square_Fox_News_Square_99b3c0fa73.png'}
788762037edc4c1e8422d6a486707f9e,nypost.com,New York Post,"['nypost.com', 'nypost', 'ny post', 'ny post.com', 'the new york post', 'the post', 'nyc post', 'nycpost.com', 'newyork post']","News about New York, sports, business, entertainment, etc.",6525,False,"[{'name': 'Sports', 'count': 1545}, {'name': 'Politics', 'count': 557}, {'name': 'General', 'count': 378}, {'name': 'Entertainment', 'count': 349}, {'name': 'Tech', 'count': 102}, {'name': 'Finance', 'count': 75}, {'name': 'Health', 'count': 69}, {'name': 'Business', 'count': 59}, {'name': 'Travel', 'count': 56}, {'name': 'Weather', 'count': 40}]","[{'name': 'Basketball', 'count': 494}, {'name': 'Crime', 'count': 398}, {'name': 'NYC', 'count': 396}, {'name': 'Sports Figures', 'count': 373}, {'name': 'Football', 'count': 342}, {'name': 'NFL', 'count': 288}, {'name': 'Baseball', 'count': 279}, {'name': 'NBA', 'count': 246}, {'name': 'MLB', 'count': 218}, {'name': 'Joe Biden', 'count': 185}]","[{'name': 'us', 'count': 6801}]","[{'name': 'Non-news', 'count': 655}, {'name': 'Opinion', 'count': 416}, {'name': 'Pop Culture', 'count': 137}, {'name': 'Paid News', 'count': 55}, {'name': 'Gallery', 'count': 2}, {'name': 'Roundup', 'count': 2}]",leansRight,Right,Leans Right,Leans Right,172991431.0,292.0,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/New_York_Post_Reg_bef7d20c3a/New-York-Post-Reg_New_York_Post_Reg_bef7d20c3a.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/New_York_Post_Fav_Icon_b850d60e7c/New-York-Post-FavIcon_New_York_Post_Fav_Icon_b850d60e7c.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/New_York_Post_Square_f7623a544f/New-York-Post-Square_New_York_Post_Square_f7623a544f.png'}
4cacbc6bb00f4e588f75480d382d2a4a,wsj.com,Wall Street Journal,"['wsj', 'the wall street journal', 'the journal', 'journal', 'finance', 'wall st', 'wall st.', 'the wsj']",Online coverage of breaking news and current headlines from the US and around the world.,3643,True,"[{'name': 'Finance', 'count': 999}, {'name': 'Politics', 'count': 655}, {'name': 'Tech', 'count': 362}, {'name': 'Entertainment', 'count': 269}, {'name': 'Business', 'count': 251}, {'name': 'Lifestyle', 'count': 178}, {'name': 'Sports', 'count': 110}, {'name': 'Health', 'count': 97}, {'name': 'Auto', 'count': 94}, {'name': 'Travel', 'count': 60}]","[{'name': 'Markets', 'count': 468}, {'name': 'Russia-Ukraine War', 'count': 208}, {'name': 'China', 'count': 134}, {'name': 'Ukraine', 'count': 125}, {'name': 'Joe Biden', 'count': 120}, {'name': 'Reviews', 'count': 94}, {'name': 'Cryptocurrency', 'count': 92}, {'name': 'Russia', 'count': 89}, {'name': 'Silicon Valley', 'count': 89}, {'name': 'Silicon Valley Bank', 'count': 83}]","[{'name': 'us', 'count': 3654}]","[{'name': 'Breaking', 'count': 928}, {'name': 'Opinion', 'count': 554}, {'name': 'Non-news', 'count': 525}, {'name': 'Pop Culture', 'count': 28}, {'name': 'Roundup', 'count': 24}, {'name': 'Paid News', 'count': 5}]",leansRight,Leans Right,Center,Leans Right,86351455.0,781.0,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/WSJ_Reg_c1a7f335e6/WSJ-Reg_WSJ_Reg_c1a7f335e6.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/WSJ_Fav_Icon_d0911973d4/WSJ-FavIcon_WSJ_Fav_Icon_d0911973d4.png'},{'url': 'https://gawq.s3.us-east-2.amazonaws.com/WSJ_Sq_940b5e07a4.png'}
c4bdb76b5123488bb3391ea7c3cda07a,foxbusiness.com,Fox Business,"['fox biz', 'foxbusiness.com', 'finance', 'stock market', 'stocks', 'stock', 'etf', 'etfs', 'wall street', 'wall st', 'wall st.', 'foxbusiness', 'fox news', 'foxnews']","Business, financial, and investment news.",887,False,"[{'name': 'Finance', 'count': 465}, {'name': 'Politics', 'count': 266}, {'name': 'Lifestyle', 'count': 156}, {'name': 'Tech', 'count': 141}, {'name': 'Business', 'count': 104}, {'name': 'Travel', 'count': 49}, {'name': 'Auto', 'count': 46}, {'name': 'Entertainment', 'count': 34}, {'name': 'Sports', 'count': 26}, {'name': 'General', 'count': 18}]","[{'name': 'Markets', 'count': 311}, {'name': 'Economy', 'count': 142}, {'name': 'Joe Biden', 'count': 85}, {'name': 'Business Leaders', 'count': 71}, {'name': 'Silicon Valley', 'count': 61}, {'name': 'Silicon Valley Bank', 'count': 60}, {'name': 'Real Estate', 'count': 42}, {'name': 'Personal Finance', 'count': 37}, {'name': 'Airlines', 'count': 36}, {'name': 'Inflation', 'count': 36}]","[{'name': 'us', 'count': 1028}]","[{'name': 'Non-news', 'count': 41}, {'name': 'Pop Culture', 'count': 7}, {'name': 'Opinion', 'count': 5}, {'name': 'Roundup', 'count': 3}, {'name': 'Paid News', 'count': 1}]",unrated,,,,48809895.0,1629.0,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Fox_Business_Reg_d13d08d613/Fox-Business-Reg_Fox_Business_Reg_d13d08d613.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Fox_News_Fav_Icon_25754dc4e2/Fox-News-FavIcon_Fox_News_Fav_Icon_25754dc4e2.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Fox_News_Square_96dbfde6ca/Fox-News-Square_Fox_News_Square_96dbfde6ca.png'}
8f76b506b4ea4d979e25107ba95ef15b,breitbart.com,Breitbart,"['Republican', 'GOP', 'breitbart.com', 'brightbart', 'brietbart', 'breit bart', 'conservative']",Syndicated news and opinion.,7477,False,"[{'name': 'Politics', 'count': 2915}, {'name': 'Sports', 'count': 1318}, {'name': 'Entertainment', 'count': 798}, {'name': 'Tech', 'count': 476}, {'name': 'Finance', 'count': 344}, {'name': 'General', 'count': 307}, {'name': 'Health', 'count': 284}, {'name': 'Business', 'count': 254}, {'name': 'Lifestyle', 'count': 178}, {'name': 'Environment', 'count': 170}]","[{'name': 'Joe Biden', 'count': 429}, {'name': 'Social Issues', 'count': 409}, {'name': 'Russia-Ukraine War', 'count': 406}, {'name': 'Crime', 'count': 382}, {'name': 'Europe', 'count': 369}, {'name': 'Donald Trump', 'count': 306}, {'name': 'China', 'count': 262}, {'name': 'GOP', 'count': 224}, {'name': 'Ukraine', 'count': 194}, {'name': 'United Kingdom', 'count': 173}]","[{'name': 'us', 'count': 7884}]","[{'name': 'Opinion', 'count': 391}, {'name': 'Pop Culture', 'count': 363}, {'name': 'Non-news', 'count': 196}, {'name': 'Gallery', 'count': 12}, {'name': 'Fact Check', 'count': 6}, {'name': 'Roundup', 'count': 6}, {'name': 'Paid News', 'count': 1}, {'name': 'Press Release', 'count': 1}]",right,Right,Right,Right,37975751.0,2307.0,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Breitbart_Reg_176d6ec613/Breitbart-Reg_Breitbart_Reg_176d6ec613.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Breitbart_Fav_Icon_189f4a42cd/Breitbart-FavIcon_Breitbart_Fav_Icon_189f4a42cd.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Breitbart_Square_0fee63276d/Breitbart-Square_Breitbart_Square_0fee63276d.png'}
26c1ab4c0cda4fa59f9254f9ba6112f9,zerohedge.com,ZeroHedge,"['zero hedge', 'hedge', 'zerohedge.com']",Blog presenting staff-written articles and aggregating news and opinions from external sources.,1482,False,"[{'name': 'Politics', 'count': 755}, {'name': 'Finance', 'count': 667}, {'name': 'Tech', 'count': 70}, {'name': 'Health', 'count': 62}, {'name': 'Business', 'count': 35}, {'name': 'General', 'count': 35}, {'name': 'Auto', 'count': 23}, {'name': 'Weather', 'count': 22}, {'name': 'Environment', 'count': 20}, {'name': 'Entertainment', 'count': 12}]","[{'name': 'Markets', 'count': 544}, {'name': 'Russia-Ukraine War', 'count': 154}, {'name': 'Joe Biden', 'count': 77}, {'name': 'China', 'count': 72}, {'name': 'Russia', 'count': 71}, {'name': 'Coronavirus', 'count': 67}, {'name': 'Ukraine', 'count': 67}, {'name': 'Social Issues', 'count': 39}, {'name': 'Inflation', 'count': 38}, {'name': 'Cryptocurrency', 'count': 36}]","[{'name': 'us', 'count': 1539}]","[{'name': 'Non-news', 'count': 136}, {'name': 'Opinion', 'count': 19}, {'name': 'Pop Culture', 'count': 2}]",leansRight,Leans Right,Leans Right,Right,34980856.0,2393.0,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Zero_Hedge_Small_3c9727e864/Zero_Hedge_Small_3c9727e864.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Zero_Hedge_Fav_Icon_c1b693887f/Zero_Hedge_Fav_Icon_c1b693887f.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Zero_Hedge_Square_Dark_4aa01c25cc/Zero_Hedge_Square_Dark_4aa01c25cc.png'}
0431014ef57d40d094c2886dde9b8288,thegatewaypundit.com,,[],,1414,,"[{'name': 'Politics', 'count': 887}, {'name': 'Entertainment', 'count': 91}, {'name': 'General', 'count': 87}, {'name': 'Health', 'count': 78}, {'name': 'Tech', 'count': 69}, {'name': 'Finance', 'count': 42}, {'name': 'Sports', 'count': 38}, {'name': 'Lifestyle', 'count': 35}, {'name': 'Business', 'count': 30}, {'name': 'Environment', 'count': 19}]","[{'name': 'Donald Trump', 'count': 216}, {'name': 'Joe Biden', 'count': 211}, {'name': 'Crime', 'count': 88}, {'name': 'Social Issues', 'count': 85}, {'name': 'Coronavirus', 'count': 71}, {'name': 'Russia-Ukraine War', 'count': 71}, {'name': 'Media', 'count': 68}, {'name': 'GOP', 'count': 57}, {'name': 'Tucker Carlson', 'count': 43}, {'name': 'DNC', 'count': 42}]","[{'name': 'us', 'count': 1462}]","[{'name': 'Non-news', 'count': 89}, {'name': 'Pop Culture', 'count': 12}, {'name': 'Opinion', 'count': 11}, {'name': 'Press Release', 'count': 2}, {'name': 'Gallery', 'count': 1}]",,,,,30910731.0,3235.0,,,
37a048d0d1c34045a275fea6b8818300,theepochtimes.com,The Epoch Times,"['et', 'epochtimes', 'epochtimes.com', 'theepochtimes.com', 'epoch time', 'conservative', 'Falun Gong', 'epoch media']",Conservative international multi-language newspaper & media company.,4978,False,"[{'name': 'Politics', 'count': 892}, {'name': 'General', 'count': 267}, {'name': 'Health', 'count': 243}, {'name': 'Finance', 'count': 152}, {'name': 'Sports', 'count': 103}, {'name': 'Tech', 'count': 76}, {'name': 'Business', 'count': 73}, {'name': 'Entertainment', 'count': 73}, {'name': 'Auto', 'count': 61}, {'name': 'Weather', 'count': 60}]","[{'name': 'Crime', 'count': 251}, {'name': 'Canada', 'count': 236}, {'name': 'China', 'count': 234}, {'name': 'Russia-Ukraine War', 'count': 216}, {'name': 'Joe Biden', 'count': 208}, {'name': 'California', 'count': 206}, {'name': 'Social Issues', 'count': 172}, {'name': 'Markets', 'count': 145}, {'name': 'GOP', 'count': 135}, {'name': 'Australia', 'count': 125}]","[{'name': 'us', 'count': 5151}]","[{'name': 'Non-news', 'count': 254}, {'name': 'Opinion', 'count': 32}, {'name': 'Pop Culture', 'count': 14}, {'name': 'Roundup', 'count': 8}, {'name': 'Gallery', 'count': 4}, {'name': 'Fact Check', 'count': 1}]",right,Right,Leans Right,Right,26505837.0,2575.0,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/The_Epoch_Times_Small_aa9f2cd0eb/The_Epoch_Times_Small_aa9f2cd0eb.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/The_Epoch_Times_Fav_Icon_1c256c99b3/The_Epoch_Times_Fav_Icon_1c256c99b3.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/The_Epoch_Times_Square_b18cc352b5/The_Epoch_Times_Square_b18cc352b5.png'}
1e6e2b889c204867ad64eb815424807f,dailywire.com,The Daily Wire,"['conservative', 'dailywire', 'daily wire', 'dw']",American conservative news publisher founded by political commentator Ben Shapiro and director Jeremy Boreing.,1153,False,"[{'name': 'Politics', 'count': 479}, {'name': 'Entertainment', 'count': 243}, {'name': 'General', 'count': 74}, {'name': 'Sports', 'count': 67}, {'name': 'Tech', 'count': 64}, {'name': 'Health', 'count': 52}, {'name': 'Lifestyle', 'count': 36}, {'name': 'Business', 'count': 31}, {'name': 'Finance', 'count': 27}, {'name': 'Science', 'count': 16}]","[{'name': 'Joe Biden', 'count': 131}, {'name': 'Donald Trump', 'count': 72}, {'name': 'Social Issues', 'count': 69}, {'name': 'Crime', 'count': 68}, {'name': 'Coronavirus', 'count': 42}, {'name': 'Russia-Ukraine War', 'count': 41}, {'name': 'Ron DeSantis', 'count': 38}, {'name': 'GOP', 'count': 37}, {'name': 'Media', 'count': 34}, {'name': 'Ohio', 'count': 28}]","[{'name': 'us', 'count': 1233}]","[{'name': 'Non-news', 'count': 170}, {'name': 'Pop Culture', 'count': 41}, {'name': 'Opinion', 'count': 8}, {'name': 'Fact Check', 'count': 2}, {'name': 'Roundup', 'count': 1}]",right,Leans Right,Right,Right,25905421.0,3385.0,{'url': 'https://gawq.s3.us-east-2.amazonaws.com/DW_Large_0b70634a02.png'},{'url': 'https://gawq.s3.us-east-2.amazonaws.com/DW_Fav_Light_c8f6db2066.png'},{'url': 'https://gawq.s3.us-east-2.amazonaws.com/DW_Square_8d873b6665.jpeg'}
538ad27c7e414215a5e13c6c21cfd9ff,newsmax.com,Newsmax,"['newsmax.com', 'news max', 'news max.com', 'conservative', 'gop', 'republican']","Conservative news and opinion website covering politics, the White House, Congress, and Hollywood.",3479,False,"[{'name': 'Politics', 'count': 1340}, {'name': 'World', 'count': 731}, {'name': 'Finance', 'count': 500}, {'name': 'Health', 'count': 249}, {'name': 'Entertainment', 'count': 128}, {'name': 'General', 'count': 81}, {'name': 'Tech', 'count': 76}, {'name': 'Business', 'count': 67}, {'name': 'Sports', 'count': 46}, {'name': 'Lifestyle', 'count': 34}]","[{'name': 'Markets', 'count': 469}, {'name': 'Russia-Ukraine War', 'count': 379}, {'name': 'Joe Biden', 'count': 248}, {'name': 'Ukraine', 'count': 194}, {'name': 'China', 'count': 188}, {'name': 'Donald Trump', 'count': 186}, {'name': 'Russia', 'count': 181}, {'name': 'Social Issues', 'count': 123}, {'name': 'GOP', 'count': 93}, {'name': 'Coronavirus', 'count': 91}]","[{'name': 'us', 'count': 3325}]","[{'name': 'Non-news', 'count': 70}, {'name': 'Opinion', 'count': 46}, {'name': 'Pop Culture', 'count': 19}, {'name': 'Roundup', 'count': 3}, {'name': 'Fact Check', 'count': 1}]",right,Far Right,Leans Right,Right,22981201.0,3900.0,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Newsmax_Small_7b9180454b/Newsmax-Small_Newsmax_Small_7b9180454b.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Newsmax_Fav_Icon_f26ba6b608/Newsmax-FavIcon_Newsmax_Fav_Icon_f26ba6b608.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Newsmax_Square_b52867d56d/Newsmax-Square_Newsmax_Square_b52867d56d.png'}
be97e4aef13d4135ab39e68c1c8f0961,ksl.com,KSL.com,[],,3754,,"[{'name': 'Sports', 'count': 2785}, {'name': 'Politics', 'count': 241}, {'name': 'General', 'count': 117}, {'name': 'Weather', 'count': 109}, {'name': 'Lifestyle', 'count': 95}, {'name': 'Health', 'count': 93}, {'name': 'Entertainment', 'count': 83}, {'name': 'Auto', 'count': 75}, {'name': 'Business', 'count': 72}, {'name': 'Tech', 'count': 53}]","[{'name': 'Basketball', 'count': 309}, {'name': 'Utah', 'count': 280}, {'name': 'Football', 'count': 190}, {'name': 'March Madness', 'count': 153}, {'name': 'NFL', 'count': 135}, {'name': 'Crime', 'count': 129}, {'name': 'Academia', 'count': 121}, {'name': 'NBA', 'count': 117}, {'name': 'College Sports', 'count': 114}, {'name': 'Texas', 'count': 107}]","[{'name': 'us', 'count': 3968}]","[{'name': 'Non-news', 'count': 159}, {'name': 'Opinion', 'count': 13}, {'name': 'Pop Culture', 'count': 7}, {'name': 'Roundup', 'count': 2}]",,,,,21579695.0,2812.0,,{'url': 'https://web-business-assets.s3.us-east-2.amazonaws.com/ksl.com.ico'},
