id,domain,name,altNames,description,avgMonthlyPosts,paywall,topCategories,topTopics,topCountries,topLabels,avgBiasRating,adFontesBiasRating,allSidesBiasRating,mbfcBiasRating,monthlyVisits,globalRank,logoLarge,logoFavIcon,logoSquare
74e69378aeb34620827e56d5eb18c20e,thefederalist.com,The Federalist,"['conservative', 'republican']","Conservative online media source and podcast that covers politics, policy, culture, and religion.",265,False,"[{'name': 'Politics', 'count': 147}, {'name': 'Entertainment', 'count': 22}, {'name': 'Lifestyle', 'count': 22}, {'name': 'Health', 'count': 8}, {'name': 'Tech', 'count': 8}, {'name': 'Finance', 'count': 7}, {'name': 'Sports', 'count': 6}, {'name': 'Science', 'count': 4}, {'name': 'Business', 'count': 3}, {'name': 'Environment', 'count': 3}]","[{'name': 'Joe Biden', 'count': 28}, {'name': 'GOP', 'count': 18}, {'name': 'Social Issues', 'count': 18}, {'name': 'Lawsuits', 'count': 9}, {'name': 'Media', 'count': 9}, {'name': 'Russia-Ukraine War', 'count': 9}, {'name': 'Ukraine', 'count': 8}, {'name': 'Voting', 'count': 7}, {'name': 'Abortion', 'count': 6}, {'name': 'Academia', 'count': 6}]","[{'name': 'us', 'count': 290}]","[{'name': 'Non-news', 'count': 31}, {'name': 'Opinion', 'count': 15}, {'name': 'Pop Culture', 'count': 3}, {'name': 'Fact Check', 'count': 1}]",right,Right,Right,Right,4089480.0,23528.0,{'url': 'https://gawq.s3.us-east-2.amazonaws.com/The_Federalist_Large_93969ed46e.png'},{'url': 'https://gawq.s3.us-east-2.amazonaws.com/The_Federalist_Fav_Light_2c1a6a47bb.png'},{'url': 'https://gawq.s3.us-east-2.amazonaws.com/The_Federalist_Square_5d07cf3851.png'}
8a2f1e85159d48658d7c0eeaeb323504,oann.com,OAN,"['one america', 'one america news', 'one america news network', 'oann.com', 'conservative', 'gop', 'republican', 'oneamerica', 'oneamerica news', 'oan news']","One America News Network delivers national and international news, including breaking political, business and entertainment headlines.",1186,False,"[{'name': 'Business', 'count': 353}, {'name': 'Politics', 'count': 225}, {'name': 'Sports', 'count': 195}, {'name': 'Tech', 'count': 179}, {'name': 'Entertainment', 'count': 90}, {'name': 'Finance', 'count': 88}, {'name': 'Auto', 'count': 40}, {'name': 'General', 'count': 33}, {'name': 'Health', 'count': 12}, {'name': 'Science', 'count': 12}]","[{'name': 'Joe Biden', 'count': 83}, {'name': 'Russia-Ukraine War', 'count': 67}, {'name': 'Markets', 'count': 62}, {'name': 'China', 'count': 59}, {'name': 'Business Leaders', 'count': 40}, {'name': 'Donald Trump', 'count': 36}, {'name': 'Lawsuits', 'count': 34}, {'name': 'Russia', 'count': 32}, {'name': 'Coronavirus', 'count': 31}, {'name': 'Basketball', 'count': 30}]","[{'name': 'us', 'count': 1358}]","[{'name': 'Non-news', 'count': 105}, {'name': 'Roundup', 'count': 74}, {'name': 'Pop Culture', 'count': 6}, {'name': 'Opinion', 'count': 5}]",right,Far Right,Leans Right,Far Right,4026628.0,26806.0,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/OAN_Small_edabe65a26/OAN-Small_OAN_Small_edabe65a26.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/OAN_Fav_Icon_768aa73ee9/OAN-FavIcon_OAN_Fav_Icon_768aa73ee9.png'},{'url': 'https://gawq.s3.us-east-2.amazonaws.com/OAN_Square_d6115289f5.png'}
ed031cd701754f4d899eaf45a46b2648,thepostmillennial.com,The Post Millennial,"['pm', 'canada', 'conservative', 'canadian']",Conservative Canadian publication covering national and local news.,456,False,"[{'name': 'Politics', 'count': 159}, {'name': 'General', 'count': 49}, {'name': 'Entertainment', 'count': 19}, {'name': 'Tech', 'count': 17}, {'name': 'Health', 'count': 7}, {'name': 'Sports', 'count': 6}, {'name': 'Business', 'count': 5}, {'name': 'Environment', 'count': 3}, {'name': 'Finance', 'count': 3}, {'name': 'Travel', 'count': 3}]","[{'name': 'Joe Biden', 'count': 54}, {'name': 'Crime', 'count': 44}, {'name': 'Social Issues', 'count': 41}, {'name': 'Donald Trump', 'count': 40}, {'name': 'Media', 'count': 23}, {'name': 'California', 'count': 16}, {'name': 'LGBTQ', 'count': 16}, {'name': 'Antifa', 'count': 15}, {'name': 'Russia-Ukraine War', 'count': 15}, {'name': 'Lawsuits', 'count': 14}]","[{'name': 'us', 'count': 452}]","[{'name': 'Non-news', 'count': 8}, {'name': 'Pop Culture', 'count': 5}, {'name': 'Opinion', 'count': 1}]",right,Leans Right,Right,Right,3957137.0,26098.0,{'url': 'https://gawq.s3.us-east-2.amazonaws.com/PM_Large_351fd04b1a.png'},{'url': 'https://gawq.s3.us-east-2.amazonaws.com/PM_Fav_c8737486a0.png'},{'url': 'https://gawq.s3.us-east-2.amazonaws.com/PM_Square_Logo_53147a8ad6.png'}
bc1620c3627048f6b25909766775b95b,ocregister.com,OCRegister,[],"ocregister.com covers local news in orange county, ca, california and national news, sports, things to do and the best places to eat, business and the orange county housing market.",1512,,"[{'name': 'Sports', 'count': 361}, {'name': 'Politics', 'count': 117}, {'name': 'General', 'count': 48}, {'name': 'Travel', 'count': 43}, {'name': 'Entertainment', 'count': 32}, {'name': 'Weather', 'count': 20}, {'name': 'Finance', 'count': 15}, {'name': 'Tech', 'count': 13}, {'name': 'Health', 'count': 11}, {'name': 'Auto', 'count': 7}]","[{'name': 'California', 'count': 229}, {'name': 'Basketball', 'count': 138}, {'name': 'Baseball', 'count': 108}, {'name': 'Academia', 'count': 78}, {'name': 'NBA', 'count': 68}, {'name': 'Sports Figures', 'count': 60}, {'name': 'Crime', 'count': 59}, {'name': 'MLB', 'count': 58}, {'name': 'Los Angeles Dodgers', 'count': 55}, {'name': 'Disney', 'count': 45}]","[{'name': 'us', 'count': 1595}]","[{'name': 'Non-news', 'count': 171}, {'name': 'Opinion', 'count': 12}, {'name': 'Pop Culture', 'count': 4}, {'name': 'Roundup', 'count': 1}]",,,,,3554553.0,22564.0,,{'url': 'https://web-business-assets.s3.us-east-2.amazonaws.com/ocregister.com.jpg'},
6706e298edc54001805935b167376203,americanthinker.com,American Thinker,[],,574,,"[{'name': 'Politics', 'count': 176}, {'name': 'General', 'count': 12}, {'name': 'Tech', 'count': 9}, {'name': 'Health', 'count': 5}, {'name': 'Business', 'count': 4}, {'name': 'Environment', 'count': 4}, {'name': 'Entertainment', 'count': 3}, {'name': 'Finance', 'count': 2}, {'name': 'Travel', 'count': 2}, {'name': 'Science', 'count': 1}]","[{'name': 'Joe Biden', 'count': 54}, {'name': 'Donald Trump', 'count': 34}, {'name': 'Russia-Ukraine War', 'count': 26}, {'name': 'Media', 'count': 25}, {'name': 'Social Issues', 'count': 17}, {'name': 'Ukraine', 'count': 17}, {'name': 'DNC', 'count': 15}, {'name': 'GOP', 'count': 15}, {'name': 'Tucker Carlson', 'count': 15}, {'name': 'Coronavirus', 'count': 14}]","[{'name': 'us', 'count': 585}]","[{'name': 'Non-news', 'count': 89}, {'name': 'Opinion', 'count': 2}, {'name': 'Fact Check', 'count': 1}]",,,,,3300505.0,24933.0,,,
f9507e07de264772a6753724a9dba9ed,washingtontimes.com,Washington Times,[],the washington times delivers breaking news and commentary on the issues that affect the future of our nation.,2369,,"[{'name': 'Politics', 'count': 669}, {'name': 'Sports', 'count': 237}, {'name': 'General', 'count': 84}, {'name': 'Entertainment', 'count': 44}, {'name': 'Health', 'count': 44}, {'name': 'Tech', 'count': 42}, {'name': 'Business', 'count': 31}, {'name': 'Travel', 'count': 22}, {'name': 'Finance', 'count': 16}, {'name': 'Auto', 'count': 14}]","[{'name': 'Joe Biden', 'count': 240}, {'name': 'Russia-Ukraine War', 'count': 175}, {'name': 'GOP', 'count': 113}, {'name': 'China', 'count': 98}, {'name': 'Ukraine', 'count': 98}, {'name': 'Social Issues', 'count': 97}, {'name': 'Donald Trump', 'count': 96}, {'name': 'Crime', 'count': 84}, {'name': 'Russia', 'count': 79}, {'name': 'Basketball', 'count': 73}]","[{'name': 'us', 'count': 2419}]","[{'name': 'Opinion', 'count': 292}, {'name': 'Non-news', 'count': 83}, {'name': 'Pop Culture', 'count': 7}, {'name': 'Paid News', 'count': 2}, {'name': 'Roundup', 'count': 2}]",,,,,3240916.0,18099.0,,,
00803c629f364bd4b9afe12949ddb6d5,wnd.com,,[],,1132,,"[{'name': 'Politics', 'count': 291}, {'name': 'General', 'count': 33}, {'name': 'Finance', 'count': 22}, {'name': 'Health', 'count': 22}, {'name': 'Entertainment', 'count': 20}, {'name': 'Sports', 'count': 18}, {'name': 'Business', 'count': 13}, {'name': 'Tech', 'count': 9}, {'name': 'Auto', 'count': 7}, {'name': 'Environment', 'count': 6}]","[{'name': 'Joe Biden', 'count': 117}, {'name': 'Social Issues', 'count': 69}, {'name': 'Donald Trump', 'count': 57}, {'name': 'Academia', 'count': 39}, {'name': 'Coronavirus', 'count': 39}, {'name': 'GOP', 'count': 32}, {'name': 'Russia-Ukraine War', 'count': 28}, {'name': 'Crime', 'count': 26}, {'name': 'Markets', 'count': 25}, {'name': 'Abortion', 'count': 23}]","[{'name': 'us', 'count': 1157}]","[{'name': 'Non-news', 'count': 82}, {'name': 'Opinion', 'count': 9}, {'name': 'Pop Culture', 'count': 5}]",,,,,2736282.0,31291.0,,,
29105cd9493d4ce68f2bd1a4b9676cd2,christianitytoday.com,ChristianityToday.com,[],,84,,"[{'name': 'Weather', 'count': 3}, {'name': 'Politics', 'count': 2}, {'name': 'Entertainment', 'count': 1}, {'name': 'Sports', 'count': 1}]","[{'name': 'Christianity', 'count': 5}, {'name': 'Earthquakes', 'count': 3}, {'name': 'Racial Injustice', 'count': 3}, {'name': 'Social Issues', 'count': 3}, {'name': 'India', 'count': 2}, {'name': 'Lawsuits', 'count': 2}, {'name': 'Russia-Ukraine War', 'count': 2}, {'name': 'Academia', 'count': 1}, {'name': 'Basketball', 'count': 1}, {'name': 'Brazil', 'count': 1}]","[{'name': 'us', 'count': 95}]","[{'name': 'Non-news', 'count': 12}, {'name': 'Opinion', 'count': 1}]",,,,,2612168.0,30914.0,,,
2551496855e344e49e886d6d82a6759d,theamericanconservative.com,American Conservative,"['Republican', 'GOP', 'theamericanconservative.com', 'theamericanconservative', 'americanconservative', 'the american conservative']","A print magazine and daily site for political analysis based in Washington, DC. ",171,False,"[{'name': 'Politics', 'count': 13}, {'name': 'Health', 'count': 2}, {'name': 'General', 'count': 1}, {'name': 'Tech', 'count': 1}, {'name': 'Travel', 'count': 1}]","[{'name': 'Russia-Ukraine War', 'count': 7}, {'name': 'Ukraine', 'count': 6}, {'name': 'Iraq', 'count': 5}, {'name': 'China', 'count': 3}, {'name': 'Media', 'count': 3}, {'name': 'Christianity', 'count': 2}, {'name': 'Donald Trump', 'count': 2}, {'name': 'Ron DeSantis', 'count': 2}, {'name': 'Social Issues', 'count': 2}, {'name': 'Tucker Carlson', 'count': 2}]","[{'name': 'us', 'count': 179}]","[{'name': 'Non-news', 'count': 12}, {'name': 'Opinion', 'count': 5}]",unrated,,,,2411902.0,35751.0,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/The_American_Conservative_Reg_1b2144a2e4/The-American-Conservative-Reg_The_American_Conservative_Reg_1b2144a2e4.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/The_American_Conservative_Fav_Icon_d7b4a6e45f/The-American-Conservative-FavIcon_The_American_Conservative_Fav_Icon_d7b4a6e45f.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/The_American_Conservative_Square_ae0ff5c5e9/The-American-Conservative-Square_The_American_Conservative_Square_ae0ff5c5e9.png'}
6fb5f60945d4452ca684b84a0d9acd20,christianpost.com,The Christian Post,[],,389,,"[{'name': 'Politics', 'count': 33}, {'name': 'Entertainment', 'count': 20}, {'name': 'General', 'count': 16}, {'name': 'Health', 'count': 8}, {'name': 'Sports', 'count': 8}, {'name': 'Weather', 'count': 5}, {'name': 'Business', 'count': 2}, {'name': 'Tech', 'count': 2}, {'name': 'Finance', 'count': 1}, {'name': 'Lifestyle', 'count': 1}]","[{'name': 'Christianity', 'count': 50}, {'name': 'Social Issues', 'count': 38}, {'name': 'Crime', 'count': 19}, {'name': 'Academia', 'count': 18}, {'name': 'Lawsuits', 'count': 18}, {'name': 'Abortion', 'count': 16}, {'name': 'LGBTQ', 'count': 11}, {'name': 'Texas', 'count': 10}, {'name': 'Supreme Court', 'count': 8}, {'name': 'Russia-Ukraine War', 'count': 7}]","[{'name': 'us', 'count': 389}]","[{'name': 'Non-news', 'count': 47}, {'name': 'Opinion', 'count': 9}, {'name': 'Pop Culture', 'count': 3}]",,,,,2257533.0,32107.0,,{'url': 'https://web-business-assets.s3.us-east-2.amazonaws.com/christianpost.com.ico'},
9551caa5442149e2b17ad99d96080d83,amgreatness.com,American Greatness,"['amgreatness', 'conservative', 'conservatism', 'Chris Buskirk']",News and opinion website aiming to be the leading voice of the next generation of American Conservatism.,230,False,"[{'name': 'Politics', 'count': 67}, {'name': 'Tech', 'count': 4}, {'name': 'Entertainment', 'count': 2}, {'name': 'Finance', 'count': 2}, {'name': 'General', 'count': 2}, {'name': 'Health', 'count': 2}, {'name': 'Sports', 'count': 1}, {'name': 'Travel', 'count': 1}]","[{'name': 'Joe Biden', 'count': 35}, {'name': 'Donald Trump', 'count': 13}, {'name': 'Social Issues', 'count': 11}, {'name': 'Russia-Ukraine War', 'count': 10}, {'name': 'GOP', 'count': 9}, {'name': 'Ukraine', 'count': 7}, {'name': 'Academia', 'count': 6}, {'name': 'Lawsuits', 'count': 6}, {'name': 'Florida', 'count': 5}, {'name': 'California', 'count': 4}]","[{'name': 'us', 'count': 231}]","[{'name': 'Non-news', 'count': 39}, {'name': 'Opinion', 'count': 4}, {'name': 'Pop Culture', 'count': 1}]",,Far Right,Right,Right,2240087.0,41710.0,,{'url': 'https://gawq.s3.us-east-2.amazonaws.com/AG_Fav_Icon_87e8a5ceb9.png'},{'url': 'https://gawq.s3.us-east-2.amazonaws.com/AG_Square_2946f12dec.png'}
52ce13dede5d48c5870bf7560a6894a0,thebulwark.com,The Bulwark,[],,105,,"[{'name': 'Politics', 'count': 28}, {'name': 'Entertainment', 'count': 3}, {'name': 'Tech', 'count': 2}, {'name': 'Business', 'count': 1}, {'name': 'Sports', 'count': 1}, {'name': 'Weather', 'count': 1}]","[{'name': 'Russia-Ukraine War', 'count': 14}, {'name': 'Donald Trump', 'count': 10}, {'name': 'Ukraine', 'count': 9}, {'name': 'GOP', 'count': 8}, {'name': 'Ron DeSantis', 'count': 5}, {'name': 'Supreme Court', 'count': 3}, {'name': 'AI', 'count': 2}, {'name': 'Jim Jordan', 'count': 2}, {'name': 'Joe Biden', 'count': 2}, {'name': 'Podcasts', 'count': 2}]","[{'name': 'us', 'count': 120}]","[{'name': 'Non-news', 'count': 28}, {'name': 'Opinion', 'count': 4}]",,,,,1988847.0,39731.0,,{'url': 'https://web-business-assets.s3.us-east-2.amazonaws.com/thebulwark.com.png'},
d51d98ac79b344478bc079c9e2083db7,bostonherald.com,Boston Herald,[],"the boston herald is the leading source of breaking news, local news, sports, politics, entertainment, opinion and weather in boston, massachusetts.",1493,,"[{'name': 'Sports', 'count': 279}, {'name': 'Politics', 'count': 134}, {'name': 'General', 'count': 57}, {'name': 'Finance', 'count': 45}, {'name': 'Entertainment', 'count': 29}, {'name': 'Weather', 'count': 22}, {'name': 'Health', 'count': 19}, {'name': 'Tech', 'count': 14}, {'name': 'Travel', 'count': 11}, {'name': 'Auto', 'count': 10}]","[{'name': 'Massachusetts', 'count': 151}, {'name': 'Football', 'count': 109}, {'name': 'NFL', 'count': 100}, {'name': 'Baseball', 'count': 63}, {'name': 'Basketball', 'count': 60}, {'name': 'Crime', 'count': 60}, {'name': 'MLB', 'count': 57}, {'name': 'Joe Biden', 'count': 51}, {'name': 'Russia-Ukraine War', 'count': 48}, {'name': 'Sports Figures', 'count': 37}]","[{'name': 'us', 'count': 1516}]","[{'name': 'Non-news', 'count': 109}, {'name': 'Roundup', 'count': 37}, {'name': 'Opinion', 'count': 34}, {'name': 'Pop Culture', 'count': 9}]",,,,,1914141.0,37296.0,,{'url': 'https://web-business-assets.s3.us-east-2.amazonaws.com/bostonherald.com.jpg'},
599223ac24d14fd7a3bb93df1954773f,observer.com,Observer,[],,183,,"[{'name': 'Entertainment', 'count': 22}, {'name': 'Tech', 'count': 16}, {'name': 'Business', 'count': 13}, {'name': 'Politics', 'count': 6}, {'name': 'Finance', 'count': 5}, {'name': 'Auto', 'count': 3}, {'name': 'General', 'count': 2}, {'name': 'Health', 'count': 2}, {'name': 'Sports', 'count': 2}, {'name': 'Lifestyle', 'count': 1}]","[{'name': 'Reviews', 'count': 28}, {'name': 'Business Leaders', 'count': 14}, {'name': 'Startups', 'count': 6}, {'name': 'AI', 'count': 5}, {'name': 'Fashion', 'count': 5}, {'name': 'Lawsuits', 'count': 5}, {'name': 'Markets', 'count': 5}, {'name': 'Movies', 'count': 5}, {'name': 'Silicon Valley', 'count': 5}, {'name': 'Silicon Valley Bank', 'count': 5}]","[{'name': 'us', 'count': 184}]","[{'name': 'Non-news', 'count': 49}, {'name': 'Opinion', 'count': 5}, {'name': 'Pop Culture', 'count': 4}]",,,,,1680774.0,49457.0,,,
73f12ddad65d478aa751482d3da5d368,freebeacon.com,,[],,262,,"[{'name': 'Politics', 'count': 130}, {'name': 'Lifestyle', 'count': 17}, {'name': 'General', 'count': 10}, {'name': 'Business', 'count': 5}, {'name': 'Tech', 'count': 5}, {'name': 'Environment', 'count': 4}, {'name': 'Sports', 'count': 3}, {'name': 'Auto', 'count': 2}, {'name': 'Entertainment', 'count': 2}, {'name': 'Finance', 'count': 1}]","[{'name': 'Joe Biden', 'count': 72}, {'name': 'Social Issues', 'count': 15}, {'name': 'Academia', 'count': 12}, {'name': 'California', 'count': 12}, {'name': 'GOP', 'count': 12}, {'name': 'Crime', 'count': 11}, {'name': 'Iran', 'count': 9}, {'name': 'China', 'count': 8}, {'name': 'Russia-Ukraine War', 'count': 8}, {'name': 'TikTok', 'count': 8}]","[{'name': 'us', 'count': 279}]","[{'name': 'Non-news', 'count': 11}, {'name': 'Opinion', 'count': 4}, {'name': 'Fact Check', 'count': 2}, {'name': 'Pop Culture', 'count': 2}]",,,,,1673429.0,51626.0,,{'url': 'https://web-business-assets.s3.us-east-2.amazonaws.com/freebeacon.com.png'},
4e8e70eff5c842f7b4f2039fa1bd684e,bizpacreview.com,BizPac Review,[],,865,,"[{'name': 'Politics', 'count': 344}, {'name': 'General', 'count': 45}, {'name': 'Entertainment', 'count': 42}, {'name': 'Health', 'count': 16}, {'name': 'Sports', 'count': 16}, {'name': 'Business', 'count': 9}, {'name': 'Environment', 'count': 8}, {'name': 'Tech', 'count': 8}, {'name': 'Finance', 'count': 5}, {'name': 'Auto', 'count': 4}]","[{'name': 'Joe Biden', 'count': 117}, {'name': 'Donald Trump', 'count': 108}, {'name': 'Social Issues', 'count': 72}, {'name': 'GOP', 'count': 50}, {'name': 'Ron DeSantis', 'count': 49}, {'name': 'Crime', 'count': 42}, {'name': 'Twitter', 'count': 33}, {'name': 'Florida', 'count': 30}, {'name': 'Racial Injustice', 'count': 30}, {'name': 'Russia-Ukraine War', 'count': 30}]","[{'name': 'us', 'count': 928}]","[{'name': 'Non-news', 'count': 39}, {'name': 'Opinion', 'count': 7}, {'name': 'Pop Culture', 'count': 7}, {'name': 'Press Release', 'count': 1}]",,,,,1662020.0,42275.0,,{'url': 'https://web-business-assets.s3.us-east-2.amazonaws.com/bizpacreview.com.png'},
